450602940	76548010
450603000	76548060
450603060	76548100
450603130	76548160
450603190	76548210
450603250	76548260
450603310	76548310
450603370	76548360
450603440	76548410
450603500	76548460
450603560	76548520
450603620	76548570
450603680	76548620
450603740	76548680
450603800	76548730
450603850	76548780
450603910	76548830
450603970	76548880
450604030	76548940
450604080	76548990
450604140	76549040
450604190	76549090
450604250	76549140
450604300	76549180
450604350	76549230
450604410	76549280
450604460	76549320
450604510	76549360
450604560	76549400
450604600	76549450
450604650	76549480
450604690	76549510
450604740	76549550
450604780	76549590
450604820	76549620
450604860	76549650
450604900	76549670
450604940	76549700
450604970	76549730
450605010	76549750
450605040	76549770
450605070	76549790
450605100	76549810
450605120	76549830
450605150	76549840
450605170	76549860
450605190	76549870
450605210	76549880
450605230	76549890
450605250	76549900
450605260	76549900
450605280	76549920
450605290	76549930
450605310	76549920
450605330	76549940
450605340	76549940
450605360	76549950
450605370	76549950
450605390	76549950
450605400	76549960
450605410	76549950
450605430	76549970
450605440	76549950
450605450	76549960
450605470	76549960
450605480	76549950
450605490	76549950
450605500	76549950
450605520	76549950
450605530	76549950
450605540	76549930
450605550	76549940
450605570	76549940
450605580	76549930
450605590	76549920
450605610	76549920
450605620	76549910
450605640	76549900
450605650	76549890
450605670	76549890
450605680	76549870
450605700	76549860
450605710	76549850
450605730	76549830
450605750	76549810
450605770	76549800
450605790	76549780
450605810	76549760
450605830	76549740
450605840	76549710
450605870	76549690
450605890	76549660
450605900	76549630
450605930	76549600
450605950	76549570
450605970	76549540
450605990	76549500
450606010	76549470
450606050	76549380
450606090	76549300
450606130	76549210
450606150	76549170
450606170	76549120
450606190	76549030
450606210	76548990
450606220	76548940
450606230	76548890
450606240	76548850
450606250	76548800
450606250	76548760
450606260	76548710
450606270	76548630
450606270	76548580
450606230	76548180
450606170	76548000
450605690	76547400
450605630	76547360
450605520	76547290
450605470	76547250
450605410	76547210
450605350	76547170
450605180	76547050
450605120	76547010
450605060	76546970
450605000	76546930
450604940	76546890
450604880	76546850
450604820	76546800
450604750	76546760
450604690	76546720
450604620	76546670
450604560	76546630
450604490	76546580
450604420	76546530
450604350	76546480
450604280	76546440
450604210	76546390
450604140	76546330
450604060	76546290
450603990	76546230
450603920	76546180
450603840	76546130
450603770	76546080
450603700	76546030
450603630	76545970
450603560	76545920
450603480	76545870
450603410	76545820
450603340	76545770
450603270	76545710
450603200	76545660
450603130	76545610
450603070	76545560
450603000	76545510
450602930	76545460
450602800	76545370
450602740	76545320
450602320	76545000
450602160	76544870
450602110	76544830
450601920	76544690
450601870	76544650
450601830	76544620
450601680	76544510
450601510	76544380
450601480	76544360
450601450	76544340
450601400	76544310
450601370	76544290
450601280	76544250
450601250	76544230
450601200	76544210
450601170	76544200
450600910	76544220
450600900	76544220
450600880	76544220
450600840	76544250
450600830	76544260
450600810	76544270
450600790	76544280
450600780	76544300
450600760	76544310
450600720	76544370
450600690	76544380
450600690	76544420
450600670	76544430
450600650	76544480
450600590	76544540
450600610	76544590
450600580	76544600
450600590	76544640
450600560	76544660
450600540	76544720
450600540	76544760
450600520	76544820
450600520	76544860
450600510	76544890
450600500	76544930
450600480	76544960
450600480	76545000
450600470	76545030
450600470	76545070
450600460	76545110
450600440	76545190
450600440	76545230
450600440	76545270
450600430	76545310
450600430	76545350
450600430	76545390
450600410	76545440
450600420	76545480
450600410	76545530
450600410	76545570
450600410	76545620
450600400	76545670
450600400	76545720
450600400	76545770
450600380	76545810
450600400	76545860
450600400	76545910
450600410	76545960
450600410	76546020
450600420	76546070
450600420	76546120
450600440	76546170
450600440	76546220
450600460	76546270
450600480	76546320
450600500	76546370
450600520	76546420
450600560	76546470
450600590	76546510
450600630	76546560
450600660	76546600
450600700	76546650
450600740	76546690
450600790	76546730
450600830	76546770
450600870	76546810
450600920	76546850
450600970	76546880
450601020	76546920
450601070	76546950
450601120	76546990
450601170	76547020
450601220	76547050
450601280	76547080
450601330	76547120
450601390	76547150
450601450	76547180
450601510	76547210
450601560	76547250
450601620	76547280
450601680	76547310
450601740	76547340
450601800	76547380
450601860	76547410
450601920	76547440
450601990	76547470
450602050	76547500
450602110	76547530
450602170	76547560
450602230	76547600
450602300	76547630
450602360	76547670
450602420	76547700
450602490	76547740
450602550	76547770
450602610	76547810
450602670	76547850
450602740	76547900
450602800	76547940
450602860	76547980
450602920	76548030
450602980	76548080
450603040	76548130
450603110	76548180
450603170	76548230
450603230	76548290
450603290	76548350
450603350	76548400
450603410	76548460
450603460	76548520
450603520	76548580
450603580	76548630
450603640	76548690
450603700	76548740
450603760	76548790
450603810	76548850
450603870	76548900
450603930	76548950
450603980	76549000
450604040	76549050
450604100	76549100
450604150	76549140
450604210	76549180
450604260	76549230
450604320	76549270
450604370	76549310
450604420	76549350
450604470	76549390
450604520	76549420
450604570	76549460
450604620	76549490
450604660	76549520
450604710	76549560
450604750	76549590
450604790	76549620
450604830	76549650
450604870	76549670
450604910	76549700
450604940	76549730
450604980	76549750
450605010	76549770
450605040	76549790
450605070	76549810
450605100	76549830
450605120	76549840
450605150	76549860
450605170	76549870
450605190	76549880
450605200	76549890
450605220	76549900
450605230	76549910
450605240	76549920
450605260	76549930
450605270	76549930
450605280	76549930
450605290	76549940
450605310	76549950
450605320	76549960
450605330	76549960
450605340	76549970
450605360	76549950
450605370	76549980
450605380	76549960
450605390	76549980
450605410	76549970
450605420	76549990
450605430	76549990
450605440	76549970
450605450	76549990
450605470	76549980
450605550	76549970
450605570	76549980
450605580	76549970
450605600	76549960
450605620	76549950
450605630	76549940
450605650	76549930
450605670	76549920
450605700	76549910
450605710	76549900
450605740	76549880
450605760	76549860
450605780	76549840
450605810	76549820
450605830	76549790
450605850	76549770
450605870	76549750
450605890	76549720
450605920	76549700
450605930	76549660
450605960	76549630
450605980	76549590
450606000	76549560
450606020	76549520
450606030	76549490
450606060	76549450
450606070	76549410
450606100	76549370
450606110	76549330
450606180	76549160
450606190	76549110
450606220	76549030
450606230	76548980
450606240	76548940
450606250	76548890
450606260	76548850
450606260	76548810
450606270	76548760
450606270	76548710
450606280	76548670
450606280	76548580
450606280	76548490
450606280	76548450
450606260	76548360
450606240	76548230
450606230	76548190
450606150	76547960
450606000	76547730
450605700	76547430
450605600	76547340
450605540	76547300
450605520	76547280
450605490	76547260
450605460	76547240
450605430	76547220
450605410	76547190
450605380	76547170
450605350	76547160
450605330	76547130
450605210	76547050
450605180	76547030
450605160	76547000
450605130	76546980
450605100	76546960
450605070	76546940
450605040	76546920
450605010	76546890
450604990	76546880
450604960	76546850
450604930	76546840
450604900	76546820
450604880	76546790
450604860	76546780
450604830	76546750
450604810	76546740
450604760	76546700
450604740	76546690
450604720	76546670
450604700	76546660
450604680	76546640
450604660	76546620
450604630	76546610
450604610	76546590
450604590	76546580
450604570	76546560
450604550	76546540
450604530	76546530
450604500	76546520
450604480	76546490
450604450	76546480
450604430	76546460
450604400	76546440
450604380	76546430
450604350	76546400
450604320	76546390
450604300	76546370
450604270	76546350
450604250	76546330
450604220	76546310
450604190	76546290
450604170	76546270
450604140	76546260
450604120	76546250
450604100	76546230
